deleted_at,date,calories,protein,carbs,fat
,2021-11-17,2977,158g,323g,117g
,2021-11-24,3087,158g,337g,123g
,2021-12-03,3087,158g,337g,123g
,2021-12-27,2535,179g,250g,91g
,2022-01-22,2535,179g,250g,91g
,2022-02-02,2535,179g,250g,91g
,2022-02-12,2535,179g,250g,91g
,2022-02-22,2535,179g,250g,91g
,2022-03-03,2535,179g,250g,91g
,2022-03-15,2320,179g,221g,80g
,2022-03-19,2320,179g,221g,80g
,2022-03-21,2320,179g,221g,80g
,2022-03-28,2320,179g,221g,80g
,2022-04-05,2211,179g,205g,75g
,2022-04-11,2034,179g,181g,66g
,2022-04-19,2034,179g,181g,66g
,2022-04-26,2034,179g,181g,66g
,2022-04-28,2519,155g,261g,95g
,2022-05-03,2519,155g,261g,95g
,2022-05-17,2519,155g,261g,95g
,2022-05-26,2519,155g,261g,95g
,2022-06-03,2519,155g,261g,95g
,2022-06-06,2304,157g,230g,84g
,2022-06-13,2384,157g,241g,88g
,2022-06-20,2468,157g,253g,92g
,2022-06-25,2430,157g,248g,90g
,2022-07-02,2514,157g,260g,94g
,2022-07-10,2552,157g,265g,96g
,2022-07-15,2590,157g,270g,98g
,2022-07-22,2590,157g,270g,98g
,2022-07-29,2590,157g,270g,98g
,2022-08-05,2628,157g,275g,100g
,2022-08-15,2628,157g,275g,100g
,2022-08-26,2670,157g,281g,102g
,2022-09-05,2670,157g,281g,102g
,2022-09-10,2670,157g,281g,102g
,2022-09-17,2670,157g,281g,102g
,2022-09-23,2670,157g,281g,102g
,2022-10-03,2670,157g,281g,102g
,2022-10-18,2670,157g,281g,102g
,2022-10-28,2708,157g,286g,104g
,2022-10-31,2157,174g,201g,73g
,2022-11-08,2157,174g,201g,73g
,2022-11-14,2157,174g,201g,73g
,2023-01-02,2157,174g,201g,73g
,2023-01-09,2253,177g,213g,77g
,2023-01-16,2106,177g,192g,70g
,2023-01-17,2106,177g,192g,70g
,2023-01-22,2106,177g,192g,70g
,2023-01-23,2009,177g,179g,65g
,2023-01-30,1971,177g,174g,63g
,2023-02-06,1971,177g,174g,63g
,2023-02-13,2658,154g,281g,102g
,2023-02-20,2620,154g,276g,100g
,2023-02-27,2658,154g,281g,102g
,2023-03-06,2696,154g,286g,104g
,2023-03-13,2658,154g,281g,102g
,2023-03-20,2751,154g,293g,107g
,2023-03-27,2751,154g,293g,107g
,2023-04-03,2835,154g,305g,111g
,2023-04-10,2873,154g,310g,113g
,2023-04-17,2915,154g,316g,115g
,2023-04-24,2953,154g,321g,117g
,2023-05-01,2915,154g,316g,115g
,2023-05-08,3012,154g,329g,120g
,2023-05-15,3012,154g,329g,120g
,2023-05-22,3012,154g,329g,120g
